"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","18579.8","","","","1"
"2019-02","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","18673.8","","","","1"
"2019-03","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","18674.2","","","","1"
"2019-04","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","18875.6","","","","1"
"2019-05","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19253.1","","","","1"
"2019-06","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19404.5","","","","1"
"2019-07","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19307.4","","","","1"
"2019-08","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19340.5","","","","1"
"2019-09","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19240.7","","","","1"
"2019-10","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19246.2","","","","1"
"2019-11","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19130.8","","","","1"
"2019-12","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","19123.2","","","","1"
"2020-01","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","18851.6","","","","1"
"2020-02","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","18921.3","","","","1"
"2020-03","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","17795.7","","","","1"
"2020-04","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","15934.9","","","","1"
"2020-05","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","16571.8","","","","1"
"2020-06","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","17806.4","","","","1"
"2020-07","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","18097.2","","","","1"
"2020-08","Canada","2021A000011124","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710133","1.2.1.1.1","18313.0","","","","1"
