REF_DATE,Industry,Employed_000s,Year,Month,Month_Name,Quarter,Year_Month,Industry_Clean
2019-01-01,"Total, all industries",18579.8,2019,1,Jan,Q1,2019-01,"Total, all industries"
2019-02-01,"Total, all industries",18673.8,2019,2,Feb,Q1,2019-02,"Total, all industries"
2019-03-01,"Total, all industries",18674.2,2019,3,Mar,Q1,2019-03,"Total, all industries"
2019-04-01,"Total, all industries",18875.6,2019,4,Apr,Q2,2019-04,"Total, all industries"
2019-05-01,"Total, all industries",19253.1,2019,5,May,Q2,2019-05,"Total, all industries"
2019-06-01,"Total, all industries",19404.5,2019,6,Jun,Q2,2019-06,"Total, all industries"
2019-07-01,"Total, all industries",19307.4,2019,7,Jul,Q3,2019-07,"Total, all industries"
2019-08-01,"Total, all industries",19340.5,2019,8,Aug,Q3,2019-08,"Total, all industries"
2019-09-01,"Total, all industries",19240.7,2019,9,Sep,Q3,2019-09,"Total, all industries"
2019-10-01,"Total, all industries",19246.2,2019,10,Oct,Q4,2019-10,"Total, all industries"
2019-11-01,"Total, all industries",19130.8,2019,11,Nov,Q4,2019-11,"Total, all industries"
2019-12-01,"Total, all industries",19123.2,2019,12,Dec,Q4,2019-12,"Total, all industries"
2020-01-01,"Total, all industries",18851.6,2020,1,Jan,Q1,2020-01,"Total, all industries"
2020-02-01,"Total, all industries",18921.3,2020,2,Feb,Q1,2020-02,"Total, all industries"
2020-03-01,"Total, all industries",17795.7,2020,3,Mar,Q1,2020-03,"Total, all industries"
2020-04-01,"Total, all industries",15934.9,2020,4,Apr,Q2,2020-04,"Total, all industries"
2020-05-01,"Total, all industries",16571.8,2020,5,May,Q2,2020-05,"Total, all industries"
2020-06-01,"Total, all industries",17806.4,2020,6,Jun,Q2,2020-06,"Total, all industries"
2020-07-01,"Total, all industries",18097.2,2020,7,Jul,Q3,2020-07,"Total, all industries"
2020-08-01,"Total, all industries",18313.0,2020,8,Aug,Q3,2020-08,"Total, all industries"
2020-09-01,"Total, all industries",18619.2,2020,9,Sep,Q3,2020-09,"Total, all industries"
2020-10-01,"Total, all industries",18706.6,2020,10,Oct,Q4,2020-10,"Total, all industries"
2020-11-01,"Total, all industries",18674.7,2020,11,Nov,Q4,2020-11,"Total, all industries"
2020-12-01,"Total, all industries",18529.5,2020,12,Dec,Q4,2020-12,"Total, all industries"
2021-01-01,"Total, all industries",18033.8,2021,1,Jan,Q1,2021-01,"Total, all industries"
2021-02-01,"Total, all industries",18370.5,2021,2,Feb,Q1,2021-02,"Total, all industries"
2021-03-01,"Total, all industries",18621.0,2021,3,Mar,Q1,2021-03,"Total, all industries"
2021-04-01,"Total, all industries",18509.7,2021,4,Apr,Q2,2021-04,"Total, all industries"
2021-05-01,"Total, all industries",18800.4,2021,5,May,Q2,2021-05,"Total, all industries"
2021-06-01,"Total, all industries",19243.1,2021,6,Jun,Q2,2021-06,"Total, all industries"
2021-07-01,"Total, all industries",19226.7,2021,7,Jul,Q3,2021-07,"Total, all industries"
2021-08-01,"Total, all industries",19227.2,2021,8,Aug,Q3,2021-08,"Total, all industries"
2021-09-01,"Total, all industries",19293.1,2021,9,Sep,Q3,2021-09,"Total, all industries"
2021-10-01,"Total, all industries",19359.8,2021,10,Oct,Q4,2021-10,"Total, all industries"
2021-11-01,"Total, all industries",19449.4,2021,11,Nov,Q4,2021-11,"Total, all industries"
2021-12-01,"Total, all industries",19434.8,2021,12,Dec,Q4,2021-12,"Total, all industries"
2022-01-01,"Total, all industries",18932.6,2022,1,Jan,Q1,2022-01,"Total, all industries"
2022-02-01,"Total, all industries",19373.8,2022,2,Feb,Q1,2022-02,"Total, all industries"
2022-03-01,"Total, all industries",19413.0,2022,3,Mar,Q1,2022-03,"Total, all industries"
2022-04-01,"Total, all industries",19545.2,2022,4,Apr,Q2,2022-04,"Total, all industries"
2022-05-01,"Total, all industries",19995.7,2022,5,May,Q2,2022-05,"Total, all industries"
2022-06-01,"Total, all industries",20099.6,2022,6,Jun,Q2,2022-06,"Total, all industries"
2022-07-01,"Total, all industries",19995.9,2022,7,Jul,Q3,2022-07,"Total, all industries"
2022-08-01,"Total, all industries",19923.2,2022,8,Aug,Q3,2022-08,"Total, all industries"
2022-09-01,"Total, all industries",19817.0,2022,9,Sep,Q3,2022-09,"Total, all industries"
2022-10-01,"Total, all industries",19933.6,2022,10,Oct,Q4,2022-10,"Total, all industries"
2022-11-01,"Total, all industries",19925.0,2022,11,Nov,Q4,2022-11,"Total, all industries"
2022-12-01,"Total, all industries",19919.7,2022,12,Dec,Q4,2022-12,"Total, all industries"
2023-01-01,"Total, all industries",19791.9,2023,1,Jan,Q1,2023-01,"Total, all industries"
2023-02-01,"Total, all industries",19907.7,2023,2,Feb,Q1,2023-02,"Total, all industries"
2023-03-01,"Total, all industries",19992.0,2023,3,Mar,Q1,2023-03,"Total, all industries"
2023-04-01,"Total, all industries",20091.8,2023,4,Apr,Q2,2023-04,"Total, all industries"
2023-05-01,"Total, all industries",20482.0,2023,5,May,Q2,2023-05,"Total, all industries"
2023-06-01,"Total, all industries",20681.3,2023,6,Jun,Q2,2023-06,"Total, all industries"
2023-07-01,"Total, all industries",20565.9,2023,7,Jul,Q3,2023-07,"Total, all industries"
2023-08-01,"Total, all industries",20552.4,2023,8,Aug,Q3,2023-08,"Total, all industries"
2023-09-01,"Total, all industries",20465.6,2023,9,Sep,Q3,2023-09,"Total, all industries"
2023-10-01,"Total, all industries",20526.1,2023,10,Oct,Q4,2023-10,"Total, all industries"
2023-11-01,"Total, all industries",20509.3,2023,11,Nov,Q4,2023-11,"Total, all industries"
2023-12-01,"Total, all industries",20450.9,2023,12,Dec,Q4,2023-12,"Total, all industries"
2024-01-01,"Total, all industries",20246.6,2024,1,Jan,Q1,2024-01,"Total, all industries"
2024-02-01,"Total, all industries",20369.9,2024,2,Feb,Q1,2024-02,"Total, all industries"
2024-03-01,"Total, all industries",20411.5,2024,3,Mar,Q1,2024-03,"Total, all industries"
2024-04-01,"Total, all industries",20583.5,2024,4,Apr,Q2,2024-04,"Total, all industries"
2024-05-01,"Total, all industries",20925.4,2024,5,May,Q2,2024-05,"Total, all industries"
2024-06-01,"Total, all industries",21048.5,2024,6,Jun,Q2,2024-06,"Total, all industries"
2024-07-01,"Total, all industries",20915.6,2024,7,Jul,Q3,2024-07,"Total, all industries"
2024-08-01,"Total, all industries",20887.4,2024,8,Aug,Q3,2024-08,"Total, all industries"
2024-09-01,"Total, all industries",20844.0,2024,9,Sep,Q3,2024-09,"Total, all industries"
2024-10-01,"Total, all industries",20861.8,2024,10,Oct,Q4,2024-10,"Total, all industries"
2024-11-01,"Total, all industries",20828.6,2024,11,Nov,Q4,2024-11,"Total, all industries"
2024-12-01,"Total, all industries",20843.6,2024,12,Dec,Q4,2024-12,"Total, all industries"
2019-01-01,"Agriculture [111-112, 1100, 1151-1152]",266.7,2019,1,Jan,Q1,2019-01,Agriculture
2019-02-01,"Agriculture [111-112, 1100, 1151-1152]",267.6,2019,2,Feb,Q1,2019-02,Agriculture
2019-03-01,"Agriculture [111-112, 1100, 1151-1152]",268.7,2019,3,Mar,Q1,2019-03,Agriculture
2019-04-01,"Agriculture [111-112, 1100, 1151-1152]",286.5,2019,4,Apr,Q2,2019-04,Agriculture
2019-05-01,"Agriculture [111-112, 1100, 1151-1152]",308.4,2019,5,May,Q2,2019-05,Agriculture
2019-06-01,"Agriculture [111-112, 1100, 1151-1152]",310.0,2019,6,Jun,Q2,2019-06,Agriculture
2019-07-01,"Agriculture [111-112, 1100, 1151-1152]",313.2,2019,7,Jul,Q3,2019-07,Agriculture
2019-08-01,"Agriculture [111-112, 1100, 1151-1152]",316.2,2019,8,Aug,Q3,2019-08,Agriculture
2019-09-01,"Agriculture [111-112, 1100, 1151-1152]",309.8,2019,9,Sep,Q3,2019-09,Agriculture
2019-10-01,"Agriculture [111-112, 1100, 1151-1152]",302.5,2019,10,Oct,Q4,2019-10,Agriculture
2019-11-01,"Agriculture [111-112, 1100, 1151-1152]",295.6,2019,11,Nov,Q4,2019-11,Agriculture
2019-12-01,"Agriculture [111-112, 1100, 1151-1152]",279.8,2019,12,Dec,Q4,2019-12,Agriculture
2020-01-01,"Agriculture [111-112, 1100, 1151-1152]",276.2,2020,1,Jan,Q1,2020-01,Agriculture
2020-02-01,"Agriculture [111-112, 1100, 1151-1152]",274.8,2020,2,Feb,Q1,2020-02,Agriculture
2020-03-01,"Agriculture [111-112, 1100, 1151-1152]",265.0,2020,3,Mar,Q1,2020-03,Agriculture
2020-04-01,"Agriculture [111-112, 1100, 1151-1152]",271.7,2020,4,Apr,Q2,2020-04,Agriculture
2020-05-01,"Agriculture [111-112, 1100, 1151-1152]",287.8,2020,5,May,Q2,2020-05,Agriculture
2020-06-01,"Agriculture [111-112, 1100, 1151-1152]",292.2,2020,6,Jun,Q2,2020-06,Agriculture
2020-07-01,"Agriculture [111-112, 1100, 1151-1152]",289.0,2020,7,Jul,Q3,2020-07,Agriculture
2020-08-01,"Agriculture [111-112, 1100, 1151-1152]",292.1,2020,8,Aug,Q3,2020-08,Agriculture
2020-09-01,"Agriculture [111-112, 1100, 1151-1152]",285.9,2020,9,Sep,Q3,2020-09,Agriculture
2020-10-01,"Agriculture [111-112, 1100, 1151-1152]",287.5,2020,10,Oct,Q4,2020-10,Agriculture
